ID,AGEB,Clee,NUE,RS,SCIAN,NCA,EPO,TV,NV,EV1,NEV1,EV2,NEV2,EV3,NEV3,NEK,LE,E,EP,NI,LI,TAH,NAH,TCC,NCC,NL,CP,CEF,NE,CM,NM,CMZ,NT,CE ,PW,LAT,LON,FiDENUE
8688942,1515,19046812110015681000000000U7,ESTETICA Y UÑAS STO DOMINGO,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,SANTO DOMINGO,CALLE,ESTADO DE GUERRERO,CALLE,6,CALLE,PERICLES,1637,NaN,MECADO PUBLICO,PLANTA BAJA,NaN,NaN,COLONIA,VICENTE GUERRERO (FOMERREY 46),MERCADO PUBLICO,PLAZA MERCADO SANTO DOMINGO,1637,66437,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,30,8112043466,NaN,NaN,25.75137399,-100.2577254,2019-11
2975851,1534,19046812110010791000000000U9,ESTETICA DE BELLEZA MAKTUB SALON,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,LAS TORRES,CALLE,CARACOLES,CALLE,ABULON,CALLE,ABULÓN,700,NaN,NaN,NaN,1,NaN,COLONIA,JARDINES DEL MEZQUITAL,NaN,NaN,NaN,66445,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,44,NaN,NaN,NaN,25.74971395,-100.2458169,2014-12
3038205,1534,19046812110001601000000000U1,ESTETICA ESTHELA,ESTÉTICA ESTHELA ,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,HUIZACHE,CALLE,CALLE DEL MEZQUITAL,CALLE,HECTOR VICTORIA,CALLE,GRANADO,817,NaN,NaN,NaN,NaN,NaN,FRACCIONAMIENTO,LOS NARANJOS 2DO SECT,NaN,NaN,NaN,66448,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,21,8183824813,NaN,NaN,25.74666201,-100.2504071,2010-07
3038236,1534,19046812110007941000000000U5,ESTETICA JUANY,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,TURQUESA,CALLE,RAFAEL MARTINEZ,CALLE,TURMALINA,CALLE,CINABRIO,521,NaN,NaN,NaN,NaN,NaN,COLONIA,ARBOLEDAS DEL MEZQUITAL,NaN,NaN,NaN,66448,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,30,NaN,NaN,NaN,25.74306893,-100.2451744,2010-07
2975896,1534,19046812110013981000000000U3,ESTETICA MARICELA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,HUIZACHE,CALLE,ENRIQUE RECIO,CALLE,NARANJOS,CALLE,ROBLE,1012,NaN,NaN,NaN,NaN,NaN,FRACCIONAMIENTO,LOS NARANJOS 3 SECTOR,NaN,NaN,NaN,66448,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,28,NaN,NaN,NaN,25.74536663,-100.2485783,2014-12
3038219,1534,19046812110004241000000000U3,ESTETICA UNISEX ADELITA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,JOSE NATIVIDAD MACIAS,CALLE,HECTOR VICTORIA,CALLE,ENRIQUE RECIO,CALLE,FRESA,723,B,NaN,NaN,0,NaN,COLONIA,UNIDAD LABORAL 2 SECTOR,NaN,NaN,NaN,66440,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,40,8110647939,NaN,NaN,25.743533,-100.2490309,2010-07
3038214,1534,19046812110011131000000000U7,ESTETICA UNISEX ROSSY,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,HECTOR VICTORIA,CALLE,DURAZNO,CALLE,ROBLE,CALLE,OMBÚ,839,B,NaN,NaN,0,NaN,COLONIA,LOS NARANJOS 2 SECTOR,NaN,NaN,NaN,66448,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,31,8186020104,NaN,NaN,25.74562309,-100.2506898,2010-07
8713731,1549,19046812110015121000000000U4,ESTETICA CON STYLO,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,HIGINIO RODRIGUEZ,CALLE,MANZANOS,CALLE,LIMONES,CALLE,CIRUELOS,509,NaN,NaN,NaN,NaN,NaN,COLONIA,HACIENDA LAS PUENTES,NaN,NaN,NaN,66465,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,25,NaN,NaN,NaN,25.73801387,-100.2834124,2019-11
8895336,1549,19046812110018891000000000U9,ESTETICA DANIELS,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,RIO CONCHOS,CALLE,LIMONES,PRIVADA,RIO CONCHOS,CALLE,HIGINIO RODRÍGUEZ,NaN,SN,NaN,NaN,NaN,NaN,COLONIA,HACIENDA LAS PUENTES,NaN,NaN,NaN,66454,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,28,NaN,NaN,NaN,25.73754194,-100.283622,2019-11
8626791,1549,19046812110016481000000000U1,ESTETICA POLO,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,RIO CONCHOS,CALLE,ALFONSO DE LA GARZA GUERRA,PRIVADA,RIO SALADO,CALLE,HIGINIO RODRÍGUEZ,555,NaN,NaN,NaN,NaN,NaN,COLONIA,HACIENDA LAS PUENTES,NaN,NaN,NaN,66454,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,28,NaN,NaN,NaN,25.73694945,-100.2820674,2019-11
3011799,1549,19046812110008611001000000U3,ESTETICA TENDENCIAS,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,REPUBLICA MEXICANA,CALLE,RIO PANUCO,CALLE,RIO HONDO,CALLE,RÍO PÁNUCO,NaN,SN,NaN,NaN,2,NaN,COLONIA,RIBERAS DE LAS PUENTES,NaN,NaN,NaN,66465,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,31,8183837873,NaN,NaN,25.73760162,-100.2863285,2010-07
7679146,1568,19046812110015511000000000U6,ESTETICA INFANTIL Y JUVENIL,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,CASA BLANCA,CALLE,ARGENTINA,CALLE,BRASIL,CALLE,ARGENTINA,206,2,CENTRO Y PLAZA COMERCIAL,PLANTA BAJA,NaN,NaN,COLONIA,COL.LOS ANGELES 7MO SECTOR,CENTRO Y PLAZA COMERCIAL,PRINCECITA FLORENCIA,2,66475,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,28,NaN,NaN,NaN,25.73214335,-100.2369186,2019-11
3030954,1568,19046812110003881000000000U7,ESTETICA NATY,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,BRASIL,AVENIDA,CASA BLANCA,CALLE,VENEZUELA,CALLE,VENEZUELA,1330,NaN,NaN,NaN,NaN,NaN,COLONIA,JARDINES DE CASA BLANCA,NaN,NaN,NaN,66475,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,20,8183200626,ESTILISTA@HOTMAIL.COM,NaN,25.73357432,-100.2367121,2010-07
3030945,1568,19046812110004011000000000U0,ESTETICA ROMEL,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,LONDRES,CALLE,RIO BALSAS,AVENIDA,CASA BLANCA,AVENIDA,CASA BLANCA,NaN,SN,NaN,NaN,NaN,NaN,COLONIA,VILLAS DE CASA BLANCA 3ER SECT,NaN,NaN,NaN,66475,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,26,NaN,NaN,NaN,25.73231877,-100.239702,2010-07
3030941,1568,19046812110005461000000000U6,ESTETICA SHIK,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,CASA BLANCA,AVENIDA,LONDRES,CALLE,RIO SAN FERNANDO,CALLE,RÍO BALSAS,632,NaN,NaN,NaN,NaN,NaN,COLONIA,VILLAS DE CASA BLANCA 3ER SECT,NaN,NaN,NaN,66475,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,26,NaN,NaN,NaN,25.73236817,-100.2388678,2010-07
8830471,1568,19046812110016831000000000U7,ESTETICA VOGE,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,CASA BLANCA,CALLE,HUAYACAN,CALLE,CALAMO,CALLE,GRANADILLO,NaN,SN,NaN,NaN,NaN,NaN,COLONIA,JARDINES DE CASA BLANCA,NaN,NaN,NaN,66475,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,24,NaN,NaN,NaN,25.73254353,-100.2382988,2019-11
3030985,1572,19046812110001321000000000U6,ESTETICA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,LOS ARCOS,CALLE,CASA DORADA,CALLE,ARGENTINA,CALLE,CAMPESTRE,220,NaN,NaN,NaN,NaN,NaN,COLONIA,CASA BLANCA SAN ANGEL,NaN,NaN,NaN,66475,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,32,NaN,NaN,NaN,25.73069685,-100.2353513,2010-07
3031017,1572,19046812110002241000000000U5,ESTETICA ARIANA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,CASA BLANCA,OTRO (ESPECIFIQUE),NINGUNO,AVENIDA,PALERMO,CALLE,CASA DORADA,424,NaN,NaN,NaN,NaN,NaN,COLONIA,RINCON DE CASA BLANCA,NaN,NaN,NaN,66478,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,27,8183205850,NaN,NaN,25.73228475,-100.2331246,2010-07
2978176,1572,19046812110011391000000000U7,ESTETICA CHE,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,CAMPESTRE,CALLE,CASA DORADA,AVENIDA,CASA BLANCA,AVENIDA,CASA BLANCA,334,NaN,NaN,NaN,NaN,NaN,COLONIA,LOS ANGELES 7MO SECTOR,NaN,NaN,NaN,66475,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,25,NaN,NaN,NaN,25.73190581,-100.2352867,2014-12
7678576,1587,19046812110015421000000000U8,ESTETICA UNISEX GRISEL,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,CALLE DE LOS GRANDES LAGOS,CALLE,IGNACIO DE LOYOLA,CALLE,SAN LEON,AVENIDA,FÉNIX,1201,A,NaN,NaN,0,NaN,COLONIA,FRESNOS DEL LAGO,NaN,NaN,NaN,66477,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,29,NaN,NaN,NaN,25.73273099,-100.2190104,2019-11
2978422,1591,19046812110013421000000000U0,CHICK SALON ESTETICA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,IGNACIO DE LOYOLA,CALLE,SAN SALVADOR,CALLE,ORION,CALLE,SAN TIMOTEO,1500,NaN,NaN,NaN,NaN,NaN,COLONIA,VILLAS DE SAN CRISTOBAL 2DO SECT,NaN,NaN,NaN,66478,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,18,8116084410,NaN,NaN,25.73370519,-100.2145354,2014-12
7678635,1591,19046812110015461000000000U4,ESTETICA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,CASA BLANCA,AVENIDA,FENIX,CALLE,SAN DIONISIO,CALLE,SAN VALENTÍN,1334,NaN,NaN,NaN,NaN,NaN,COLONIA,RESIDENCIAL SAN CRISTOBAL,NaN,NaN,NaN,66477,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,7,8182539757,NaN,NaN,25.73418971,-100.2169301,2019-11
7678680,1591,19046812110015481000000000U2,ESTETICA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,SAN PATRICIO,CALLE,SAN CRISTOBAL,CALLE,ORION,CALLE,SAN PEDRO,NaN,SN,NaN,NaN,NaN,NaN,COLONIA,VILLAS DE SAN CRISTOBAL,NaN,NaN,NaN,66478,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,32,8115726678,NaN,NaN,25.73238229,-100.2131251,2019-11
3028520,1591,19046812110002661000000000U4,ESTETICA MARTHA ELENA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,IGNACIO DE LOYOLA,CALLE,SAN CRISTOBAL,CALLE,SAN TIMOTEO,CALLE,SAN VALENTÍN,1701,A,NaN,NaN,NaN,NaN,COLONIA,VILLAS DE SAN CRISTOBAL,NaN,NaN,NaN,66478,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,20,8124560294,NaN,NaN,25.73354911,-100.2120567,2010-07
8498670,1591,19046812110016351000000000U6,ESTETICA MARTHA ELENA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,CASA BLANCA,CALLE,ORION,PRIVADA,CALLE 2,OTRO (ESPECIFIQUE),NINGUNO,1001,NaN,NaN,NaN,NaN,NaN,COLONIA,ARBOLEDAS DE SAN CRISTOBAL,NaN,NaN,NaN,66478,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,2,NaN,NaN,NaN,25.73473969,-100.2143028,2019-11
3028493,1591,19046812110008741000000000U8,ESTETICA NEW LOOK,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,CASA BLANCA,CALLE,SAN DIONISIO,AVENIDA,FENIX,CALLE,SAN REMO,1321,NaN,NaN,NaN,NaN,NaN,COLONIA,MISION DE SAN CRISTOBAL,NaN,NaN,NaN,66477,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,5,NaN,NaN,NaN,25.73441717,-100.2167788,2010-07
3028502,1591,19046812110010401000000000U5,ESTETICA UNISEX,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,CASA BLANCA,CALLE,SAN DIONISIO,CALLE,ORION,CALLE,SAN VALENTÍN,1444,NaN,NaN,NaN,NaN,NaN,COLONIA,RESIDENCIAL SAN CRISTOBAL,NaN,NaN,NaN,66477,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,8,8115112899,NaN,NaN,25.73447951,-100.214626,2014-12
3035698,1604,19046812110000721000000000U8,ESTETICA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,HERIBERTO JARA,ANDADOR,NINGUNO,CALLE,EJERCITO CONSTITUCIONALISTA,CALLE,DIPUTADO FROYLAN MANJARREZ,435,A,NaN,NaN,NaN,NaN,COLONIA,CONSTITUYENTES DE QUERETARO SECT 1,NaN,NaN,NaN,66490,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,30,NaN,NaN,NaN,25.71566399,-100.2529239,2010-07
3035685,1604,19046812110007861000000000U5,ESTETICA ANDREA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,DAVID PEÑA FLOR,CALLE,VENUSTIANO CARRANZA,AVENIDA,CONDUCTORES,CALLE,MANUEL G. ARANDA,601,B,NaN,NaN,0,NaN,COLONIA,CONSTITUYENTES DE QUERETARO,NaN,NaN,NaN,66490,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,8183945796,NaN,NaN,25.71935638,-100.2531173,2010-07
2977999,1604,19046812110011421000000000U2,ESTETICA D HECTOR,ESTETICA D HECTOR ,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,ERNESTO MEADE FIERRO,CALLE,HECTOR VICTORIA,CALLE,MANUEL AMAYA,PEATONAL,MANUEL AGUIRRE BERLANGA,102,C,NaN,NaN,NaN,NaN,COLONIA,CONSTITUYENTES DE QUERETARO,NaN,NaN,NaN,66490,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,28,8110230264,NaN,NaN,25.7171601,-100.2512949,2014-12
