"","Point.Forecast","Lo.99","Hi.99"
"2022.365",51356665.1648741,44754338.6796199,57958991.6501283
"2022.385",51660609.8596612,44895438.7914916,58425780.9278307
"2022.404",52298419.0855882,45262070.3486402,59334767.8225362
"2022.423",53145844.0374795,46076888.8413474,60214799.2336117
"2022.442",51248626.3417561,44147214.3989169,58350038.2845952
"2022.462",52319342.1392526,45185621.1187142,59453063.1597911
"2022.481",51247034.2335531,44081149.8069212,58412918.6601851
"2022.500",52091777.8072577,44893873.6933631,59289681.9211523
"2022.519",51441597.6714461,44211815.6795881,58671379.6633042
"2022.538",49054065.7640419,41792545.8359023,56315585.6921815
"2022.558",50985235.6248877,43692115.8751686,58278355.3746068
"2022.577",50817056.7798017,43492473.5356357,58141640.0239676
"2022.596",52194903.3705742,44838991.2097548,59550815.5313936
"2022.615",50298299.4117952,42911191.1998719,57685407.6237185
"2022.635",51400591.7319225,43982418.6582042,58818764.8056408
"2022.654",51196491.8898335,43747383.5023408,58645600.2773261
"2022.673",48545750.5403087,41065834.7797144,56025666.300903
"2022.692",50329415.2996543,42818818.5322488,57840012.0670597
"2022.712",47350085.5555066,39808932.6052254,54891238.5057878
"2022.731",49563195.4096131,41991609.5891585,57134781.2300677
"2022.750",48905436.3786467,41303539.5197382,56507333.2375553
"2022.769",48321506.543467,40689419.0262501,55953594.0606839
"2022.788",49940956.5234337,42278797.3050781,57603115.7417893
"2022.808",48118078.2458002,40425964.8883148,55810191.6032857
"2022.827",48518777.0158745,40796825.7131674,56240728.3185816
