"","Point.Forecast","Lo.99","Hi.99"
"2022.365",37366491.9344757,32189454.1229413,42543529.74601
"2022.385",38814774.0196795,32852990.636507,44776557.402852
"2022.404",40697055.6328659,33568053.2600129,47826058.005719
"2022.423",42124618.2258,34182591.4916665,50066644.9599334
"2022.442",40145923.0040741,31394567.8078153,48897278.2003329
"2022.462",40316199.6682688,30853121.4508791,49779277.8856586
"2022.481",38991525.8453306,28855124.8137767,49127926.8768845
"2022.500",40865828.6727413,30102783.1394698,51628874.2060128
"2022.519",39749165.543746,28392113.7486742,51106217.3388178
"2022.538",39098953.3889666,27178228.9943145,51019677.7836186
"2022.558",39292957.840091,26833719.5522047,51752196.1279774
"2022.577",39284154.6341618,26308863.6193691,52259445.6489544
"2022.596",40870547.7867636,27398903.8907479,54342191.6827793
"2022.615",39646130.8513934,25695805.4825812,53596456.2202056
"2022.635",40078655.3885365,25665528.2453863,54491782.5316867
"2022.654",39667633.369761,24806113.4120649,54529153.327457
"2022.673",38030533.8890481,22733757.5595417,53327310.2185545
"2022.692",39408918.173871,23688932.9452337,55128903.4025083
"2022.712",38138815.6907493,22006719.9138262,54270911.4676725
"2022.731",38237244.4795082,21703306.9920293,54771181.9669871
"2022.750",37864506.8847691,20938264.9749578,54790748.7945805
"2022.769",37461788.766848,20152131.3229623,54771446.2107338
"2022.788",36924712.9376544,19239950.6614378,54609475.2138709
"2022.808",35460395.5583123,17408321.090914,53512470.0257106
"2022.827",35971215.4011754,17559154.9938483,54383275.8085025
